date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2022-06-01,63.0,1,30107.0,1387.0,44864.0,39421.88234467951,1261.5669519896167,,,39425.08943764399,1268.2850293820375,,,39330.42557769539,1267.0268492417001,,
2022-07-01,64.0,1,31268.0,777.0,45641.0,40227.280284170425,1284.6555718328198,,,40235.41631734587,1289.6235011454999,,,40137.21520636582,1284.935407620271,,
2022-08-01,65.0,1,31833.0,1138.0,46779.0,41035.37268729677,1297.1413768912266,,,41046.194764969136,1299.9263323422792,,,40941.620365963245,1292.3591989406577,,
2022-09-01,66.0,1,32680.0,1148.0,47927.0,41851.34652409672,1314.846908979231,,,41861.66055170309,1314.470424506111,,,41748.638818987965,1304.751764419491,,
2022-10-01,67.0,1,33369.0,998.0,48925.0,42674.56158305788,1332.0080453053658,,,42684.56612039978,1331.8239441942317,,,42563.251460228465,1322.1569948800477,,
2022-11-01,68.0,1,34150.0,1008.0,49933.0,43502.116270437655,1346.355620493635,,,43512.466660308644,1346.8230996573316,,,43383.22345417874,1337.41971349976,,
2022-12-01,69.0,1,34780.0,1223.0,51156.0,44333.56225623852,1360.3076231865243,,,44342.99444684326,1359.5152551350213,,,44205.535310299696,1349.728096020905,,
2023-01-01,70.0,1,35523.0,1289.0,52445.0,45171.10033755726,1376.5077300644712,,,45180.33260051715,1376.4224709505963,,,45042.868556675254,1374.7464526751653,,
2023-02-01,71.0,1,36535.0,1250.0,53695.0,46014.6670462668,1392.7184313181674,,,46023.70413737716,1392.6354974497915,,,45886.27167369735,1390.995906976054,,
2023-03-01,72.0,1,37494.0,1407.0,55102.0,46862.85209392765,1407.5921350439116,,,46872.29642625197,1408.1092415060689,,,46736.37970038031,1407.9541926030736,,
2023-04-01,73.0,1,38445.0,1396.0,56498.0,47716.47033814444,1423.3368422013837,,,47727.35019913277,1424.8871870050577,,,47595.890111202,1427.691465282662,,
2023-05-01,74.0,1,39583.0,1710.0,58208.0,48574.288932356656,1437.9147549694399,,,48586.48728585408,1439.3655155516744,,,48459.19986716948,1441.9400051386765,,
2023-06-01,75.0,1,40880.0,1755.0,59963.0,49438.119139388145,1454.3549948351385,,,49451.2292526677,1455.415051798123,,,49327.023701701735,1456.949467612451,,
2023-07-01,76.0,1,42248.0,1995.0,61958.0,50306.69852323776,1469.605882762533,,,50320.593317022816,1470.549944846912,,,50199.22067764369,1471.8728712493883,,
2023-08-01,77.0,1,43988.0,1947.0,63905.0,51180.05948399138,1484.9469072181587,,,51195.471656627116,1486.633207124232,,,51079.392029539384,1490.4506743548611,,
2023-09-01,78.0,1,45486.0,2093.0,65998.0,52055.727630787806,1497.8716711475638,,,52072.08833311458,1499.0075688922554,,,51959.632053943365,1501.2197196783452,,
2023-10-01,79.0,1,46958.0,2002.0,68000.0,52932.38873324997,1509.5102535005558,,,52949.21487912614,1510.1745965188406,,,52839.14936566252,1511.1982146705047,,
2023-11-01,80.0,1,48707.0,1756.0,69756.0,53807.33801196485,1518.4561279488871,,,53823.80586723223,1518.3023952747915,,,53714.04174649757,1517.2657053387873,,
2023-12-01,81.0,1,49878.0,2279.0,72035.0,54677.73688704803,1524.5426116192575,,,54693.37468590278,1523.9127573495912,,,54582.880218801096,1521.8479923934474,,
2024-01-01,82.0,1,51525.0,2509.0,74544.0,55543.00068906798,1529.9891059306647,,,55557.21438946815,1528.7551185009493,,,55448.97420610107,1529.6661047180194,,
2024-02-01,83.0,1,53432.0,1731.0,76275.0,56400.53729221096,1532.7810465884854,,,56413.32972254196,1531.5325745694117,,,56307.243900220696,1532.3710437572324,,
2024-03-01,84.0,1,54193.0,2190.0,78465.0,57247.6172715278,1532.7496216017973,,,57259.46339241508,1531.9588316185218,,,57157.04710958142,1534.3386701327943,,
2024-04-01,85.0,1,55440.0,2535.0,81000.0,58082.06903070926,1530.4194775892709,,,58093.60866641175,1530.2570074415976,,,57997.32958974884,1535.1491237712316,,
